Number of Boat in list,Year,Model,Area Code,Phone Number,Price
64,2006,2006 Columbia 30  Sport Boat,813,813 373-681,"$65,000        "
65,1988,1988 O'Day O'day 302,859,859 653-724,"$22,000        "
66,1977,1977 Hunter 1456 - 2069772,858,858 342-970,"$14,500        "
67,1982,1982 Catalina 30,817,817 455-423,"$12,500        "
68,1979,1979 Hunter 30'SLOOP,888,888 421-260,"$11,900        "
69,1968,1968 Ericson 30,917,917 804-539,"$6,500         "
70,1969,1969 Bristol Sail,313,313 418-106,"$29,000        "
71,1978,1978 S 2 9.2C,770,770 402-806,"$21,500        "
72,1977,1977 Columbia 8.7,860,860 841-844,"$17,900        "
73,1996,1996 Hunter 280,281,281 889-046,"$24,500        "
74,1982,1982 Sabre 28-II,917,917 916-175,"$16,000        "
75,1974,1974 Tanzer 28' SAILBOAT,888,888 421-260,"$8,500         "
76,1991,1991 Capital Yachts GULF 27,614,614 499-003,"$26,500        "
77,1983,1983 Hunter Hunter 27,336,336 813-363,"$12,000        "
78,1979,1979 Catalina CATALINA 27,239,239 910-479,"$9,800         "
79,1979,1979 Hunter 27 CHERUBINI,888,888 521-974,"$6,000         "
80,1979,1979 S 2 S2 8.0 Meter,904,904 219-727,"$5,300         "
81,1980,1980 Aloha Yachts Aloha Pocket Yacht,347,347 645-774,"$5,200         "
82,2013,2013 Mcgregor Tattoo 26,239,239 537-684,"$35,100        "
83,2011,2011 Macgregor 26M,619,619 823-714,"$35,000        "
84,1981,1981 Catalina c25,334,334 318-252,"$5,900         "
85,1984,1984 MACGREGOR SAILBOATS 25 SAILBOAT,888,888 325-374,"$4,500         "
86,2001,2001 Pacific Seacraft Dana 24,310,310 823-890,"$84,000        "
87,1968,1968 Morgan 25,772,772 370-531,"$4,900         "
88,2000,2000 Precision P-23,913,913 484-455,"$13,900        "
89,1981,1981 O'Day 23',661,661 878-846,"$12,000        "
90,2012,2012 Catalina 22 Sport,877,877 425-516,"$18,750        "
91,2008,2008 WD Schock Santana 22,866,866 375-467,"$18,000        "
92,1988,1988 J Boats J/22,248,248 921-910,"$9,500         "
93,2006,2006 Hunter 216,954,954 646-155,"$7,900         "
94,2012,2012 Hutchins ComPac Sun Cat,314,314 315-127,"$21,500        "
95,1986,1986 Com-Pac 16,770,770 309-330,"$3,995         "
96,1997,1997 Catalina Capri 14.2,410,410 299-057,"$3,000         "
97,1987,1987 Custom Creala,541,541 271-404,"$75,000        "
98,1999,1999 CUSTOM Designer George Buehler,912,912 656-710,Call For Price 
99,1982,1982 Morgan 382,561,561 309-600,"$10,500        "
100,1947,1947 Cooks & Welton Caledonia Tall Ship,216,216 391-190,"$7,000,000     "
101,2004,2004 Perini 135,866,866 469-964,"$1,708,350     "
102,2012,2012 Custom Deluxe Schooner (JFR),877,877 430-803,"$3,986,150     "
103,2010,2010 Royal Huisman Type Custom Motorsailor,888,888 573-425,"$2,847,250     "
104,2012,2012 Phinisi Schooner,954,954 763-397,"$545,000       "
105,1998,1998 Wally 106 (SWJ),877,877 430-803,"$6,605,620     "
106,2006,2006 Custom Ketch,954,954 760-653,"$1,724,900     "
107,1996,1996 Custom CRUISE / RACER,855,855 257-705,"$695,000       "
108,1996,1996 A Custom Sloop Ultra-Fast Cruising,866,866 477-485,"$550,000       "
109,1996,1996 Certified Charter Mega-Sloop,562,562 437-750,"$549,000       "
110,2004,2004 C & C 99 Sailboat,941,941 914-921,"$88,800        "
111,2003,2003 Adik Tuzla Motor Sailer,954,954 763-397,"$1,025,010     "
112,2003,2003 Wally 94 (SWJ),877,877 430-803,"$7,972,300     "
113,1981,1981 Jachtwerf Helleman Dutch Built - Motorsailor Ketch,954,954 763-397,"$179,900       "
114,1994,1994 Export Yachts Motorsailer,888,888 474-702,"$979,420       "
115,1986,1986 Gulfstar Enclosed Cockpit,866,866 694-909,"$595,000       "
116,1989,1989 gulet 24 Custom,866,866 469-964,"$318,892       "
117,2006,2006 Custom Ketch (JFR),877,877 430-803,"$666,257       "
118,2006,2006 Custom Ketch 78,888,888 610-899,"$597,923       "
119,2007,2007 Viking Gokstad Ship,866,866 220-931,"$69,900        "
120,2013,2013 Sunreef Ultimate 75,888,888 809-008,"$6,445,498     "
121,2009,2009 Custom Cruiser,888,888 573-425,"$580,000       "
122,1978,1978 Mike Broussard 74 Corsair,941,941 914-921,"$399,900       "
123,1939,1939 Ortholan Argentina Classic Motorsailer Ketch,866,866 220-931,"$240,000       "
124,1939,1939 Ortholan Argentina Classic Motorsailer Ketch,866,866 220-931,"$240,000       "
125,1987,1987 German Frers custom sloop,206,206 686-540,"$850,000       "
126,2012,2012 Sunreef Sunreef 70 Owner's Version,877,877 564-499,"$2,995,000     "
127,1986,1986 COOPER MAPLE LEAF 72 Pilothouse Ketch,866,866 220-931,"$795,000       "
128,2000,2000 Two Masted Schooner Brigantine,877,877 564-970,"$495,000       "
129,2004,2004 Double Masted Ketch Rig Ian Ross Designed,888,888 573-425,"$255,000       "
130,1984,1984 Custom Sloop (JFR),877,877 430-803,"$203,863       "
131,2006,2006 Hylas 70 center Cockpit,310,310 821-588,"$1,200,000     "
132,1987,1987 Santa Cruz 70,866,866 513-857,"$299,000       "
133,1995,1995 Andrews 4JH2HTE,888,888 596-426,"$275,000       "
134,1994,1994 Dencho Marine Andrews 70,866,866 513-857,"$239,000       "
135,1980,1980 Custom Lidgard 70,941,941 914-921,"$180,000       "
136,1988,1988 Irwin Yachts Custom Ketch,954,954 763-397,"$439,000       "
137,1987,1987 Irwin Ketch,310,310 821-588,"$399,000       "
138,2014,2014 Bruckmann ,866,866 694-909,"$2,800,000     "
139,2010,2010 Fountaine Pajot Galathea,888,888 809-008,"$2,230,000     "
140,2010,2010 Custom Carbon Fiber Tripp 65,860,860 536-777,"$1,995,000     "
141,1999,1999 Woodwind - Kurt Hughes - Custom Catamara Catamaran,954,954 763-397,"$1,300,000     "
142,1973,1973 CUSTOM BUILT 65 Alan Wright Twin Keel Motorsailor,941,941 914-921,"$399,900       "
143,1938,1938 Stephens Brothers 65,941,941 914-921,"$375,000       "
144,2000,2000 Topper Hermanson Island Cargo design,866,866 220-931,"$219,000       "
145,1979,1979 Herreshoff Kia Ora,941,941 914-921,"$169,000       "
146,1990,1990 Macgregor 65,877,877 564-794,"$139,000       "
147,2011,2011 Notary Ocean Cat ,888,888 809-008,"$488,000       "
148,1981,1981 Herreshoff Custom 64,941,941 914-921,"$180,000       "
149,1989,1989 Dynamique Sailboat,954,954 763-397,"$375,000       "
150,1992,1992 Carpenter Custom Yachts Van Ki Pass,860,860 536-777,"$900,000       "
151,1982,1982 Little Harbor 62,866,866 694-909,"$629,000       "
152,1986,1986 Tom Colvin Pipestrelle Steel Schooner,360,360 697-848,"$69,000        "
153,1972,1972 Palmer Johnson 61' Sailboat,866,866 694-909,"$210,000       "
154,2004,2004 Fountaine Pajot Eleuthera,888,888 809-008,"$916,044       "
155,1966,1966 Bernard Ferdinand Gaff Schooner,866,866 220-931,"$722,500       "
156,2000,2000 Kurt Hughes KHSD 60 Catamaran,866,866 220-931,"$649,000       "
157,1999,1999 Berkstresser Performance Catamaran,800,800 537-005,"$574,900       "
158,2008,2008 Auzepy Brenneur Sloop 1978/2008,866,866 220-931,"$550,000       "
159,1999,1999 Catamaran Custom Commercial Term Charter,866,866 220-931,"$549,900       "
160,1995,1995 Sundeer Sloop,888,888 474-702,"$445,000       "
161,1994,1994 Custom Proven Racing Sailboat,866,866 461-654,"$345,000       "
162,1979,1979 Southern Ocean Shipyard Schooner,888,888 596-426,"$325,000       "
163,2005,2005 Custom George Buehler 60 Pilothouse Sloop,866,866 220-931,"$299,900       "
164,1991,1991 CUSTOM BUILT 60 Ketch,941,941 914-921,"$163,900       "
165,1937,1937 Alden Yachts Custom Build #645,941,941 914-921,"$154,500       "
166,2000,2000 Voyager 580,954,954 763-397,"$649,000       "
167,2000,2000 SunChaser 58,619,619 319-013,"$515,000       "
168,2007,2007 Tayana 58,877,877 564-499,"$463,000       "
169,2001,2001 Lagoon 570,954,954 763-397,"$675,000       "
170,1980,1980 Nautor Swan 57 Ketch,860,860 536-777,"$475,000       "
171,2007,2007 Beneteau ,866,866 340-433,"$432,782       "
172,2008,2008 Rollins Schooner,855,855 822-828,"$700,000       "
173,2001,2001 Taswell Dixon 56,201,201 985-809,"$579,000       "
174,1999,1999 Fountaine Pajot Marquises 56,888,888 573-425,"$424,500       "
175,1979,1979 Nautical Development Corp Stevens 56,866,866 220-931,"$319,900       "
176,1925,1925 Alden Yachts 253B Schooner,941,941 914-921,"$60,000        "
177,2009,2009 DH 550 ,954,954 763-397,"$1,200,000     "
178,1995,1995 De CESARI Cervia Une Off STARKEL 55,866,866 836-913,"$461,255       "
179,1989,1989 Lagoon Catamaran,954,954 763-397,"$460,000       "
180,1973,1973 Salthouse Brothers 56 ,941,941 914-921,"$349,000       "
181,1981,1981 Custom Cutter Rig,888,888 669-845,"$325,000       "
182,1990,1990 Tayana ,954,954 763-397,"$295,000       "
183,1976,1976 Custom Bruce Roberts Ketch - 4- Stateroo Center Cockpit,877,877 502-133,"$209,000       "
184,1994,1994 Custom David Mix 55,888,888 457-229,"$195,000       "
185,1985,1985 Sutton Schooner Marconi Rig,877,877 273-039,"$189,500       "
186,1982,1982 Peterson 55,866,866 513-857,"$137,000       "
187,1975,"1975 Custom 46 Sampson Design, Howard K. Knox Builder",941,941 914-921,"$133,950       "
188,1925,1925 Philip & Son Gaff Rigged Ketch,888,888 524-338,"$69,900        "
189,1975,1975 Samson 55,941,941 914-921,"$50,900        "
190,2004,2004 Vallicelli Blusail,954,954 763-397,"$1,707,211     "
191,2008,2008 Oyster 54,855,855 249-276,"$990,000       "
192,1990,1990 Bull 54,941,941 914-921,"$662,992       "
193,2011,2011 Beneteau Oceanis 54,954,954 763-397,"$439,900       "
194,2008,2008 Jeanneau Sun Odyssey 54 DS,888,888 227-665,"$419,900       "
195,2004,2004 Jeanneau Sun Odyssey 54 DS,631,631 963-448,"$389,000       "
196,1987,1987 Gulfstar 54 Sailcruiser,201,201 985-809,"$329,000       "
197,1988,1988 Gulfstar 54,954,954 763-397,"$249,000       "
198,1986,1986 Gulfstar 54 Sailcruiser,888,888 573-425,"$219,000       "
199,1987,1987 Finya (Skye) 54,877,877 564-794,"$159,500       "
200,1982,1982 Hunter ,888,888 474-702,"$129,000       "
201,1973,1973 Samson 54 Ketch,941,941 914-921,"$28,000        "
202,2013,2013 Jeanneau 53,877,877 564-499,"$517,000       "
203,1996,1996 J 160 J Boat,877,877 564-794,"$458,000       "
204,1983,1983 Cheoy Lee Wittholz 53,800,800 537-005,"$295,000       "
205,2004,2004 Hanse 531,349,34952810066,"$256,253       "
206,1993,1993 AMEL Super Maramu,888,888 457-229,"$249,000       "
207,1973,1973 Hinckley 48 Cutter,888,888 573-425,"$229,000       "
208,1972,1972 Hinckley CUTTER,800,800 537-005,"$229,000       "
209,1974,1974 Buzzards Bay Boats Inc./Vaitses-Custom Herreshoff Ketch,877,877 564-794,"$225,000       "
210,1996,1996 AMEL Super Maramu-53,954,954 763-397,"$189,900       "
211,1979,1979 Skookum Cutter,877,877 445-530,"$119,000       "
212,1981,1981 Pearson 530,866,866 289-181,"$79,000        "
213,1987,1987 Bruce Roberts Sailboat Ketch Rig,866,866 810-218,"$29,900        "
214,2010,2010 Dufour 525 Grand Large,954,954 763-397,"$450,000       "
215,2006,2006 Beneteau 523,888,888 457-229,"$349,900       "
216,1994,1994 Custom Sailing Catamaran,866,866 461-654,"$260,000       "
217,1994,1994 Frers Cutter 52,888,888 227-665,"$259,000       "
218,1989,"1989 Triagoz 52 15,95 m",941,941 914-921,"$239,000       "
219,2001,2001 Jeanneau Sun Odyssey 52 .2,954,954 763-397,"$229,900       "
220,1987,1987 Tayana Center Cockpit,888,888 573-425,"$180,000       "
221,1990,1990 Endeavour 52' Center Cockpit,866,866 220-931,"$77,000        "
222,1994,1994 Tom Colvin 63 Pipistrel,941,941 914-921,"$56,000        "
223,1996,1996 Little Harbor Performance Cruiser,877,877 657-244,"$299,500       "
224,1980,1980 Baltic 51,860,860 536-777,"$299,000       "
225,2007,2007 Bavaria Vision 50,866,866 263-993,"$199,000       "
226,1991,1991 Jeanneau Sun Odyssey 51,727,727 460-568,"$174,900       "
227,1984,1984 Island Trader 51 Ketch,888,888 669-845,"$150,000       "
228,1980,1980 Morgan Out Island 512 Center Cockpit,855,855 822-828,"$139,000       "
229,1980,1980 SKYE 51,866,866 257-681,"$124,495       "
230,1976,1976 Morgan Out Island 51,877,877 564-970,"$119,000       "
231,1986,1986 Beneteau IDYLLE 15.5,866,866 220-931,"$110,000       "
232,1975,1975 Morgan 51 OUT ISLAND,941,941 914-921,"$55,000        "
233,2005,2005 TS 50 ,888,888 809-008,"$798,500       "
234,2002,2002 Valiant 63C,877,877 502-133,"$529,500       "
235,2001,2001 Custom Catamaran(Kurt Hughes) 460,877,877 564-499,"$475,000       "
236,2012,2012 Beneteau Sense 50,877,877 564-499,"$469,900       "
237,2012,2012 Beneteau 50,888,888 365-848,"$379,000       "
238,2012,2012 Hunter 50 Center Cockpit,585,585 339-973,"$359,000       "
239,2009,2009 Hunter 50 Center Cockpit,888,888 363-495,"$340,000       "
240,2007,2007 Admiral Yachts Executive 50,877,877 564-499,"$339,500       "
241,1997,1997 Voyage 500,954,954 763-397,"$339,000       "
242,2007,2007 Beneteau First 50,888,888 457-229,"$329,000       "
243,1999,1999 Celestial 50 Pilothouse,888,888 457-229,"$287,900       "
244,1983,1983 Dickerson 50 Ketch,866,866 729-252,"$250,000       "
245,2008,2008 Beneteau Oceanis 50,866,866 836-913,"$245,000       "
246,2002,2002 Beneteau 50 Sloop,631,631 963-448,"$235,000       "
247,2000,2000 Beneteau 50,877,877 564-499,"$225,000       "
248,2000,2000 Beneteau 50,888,888 457-229,"$209,000       "
249,1987,1987 DOUG PETERSON YACHT CUSTOM Pilothouse,866,866 477-485,"$200,000       "
250,1987,1987 Doug Peterson Pilothouse 50 S/V (BLC),877,877 430-803,"$199,900       "
251,1976,1976 Hinckley Sou'wester 50 Yawl,877,877 564-970,"$199,000       "
252,2006,2006 Custom Catamaran 1.9 TDI,866,866 220-931,"$199,000       "
253,1996,1996 Horizon Steel Pilothouse,888,888 457-229,"$195,000       "
254,2003,2003 Reinke Super Secura 8m Steel Schooner,866,866 220-931,"$195,000       "
255,1981,1981 Santa Cruz 50,866,866 513-857,"$195,000       "
256,2012,2012 COLVIN Memory Schooner,855,855 254-516,"$175,000       "
257,1979,1979 Gulfstar 50 MkII,866,866 202-668,"$169,000       "
258,2002,2002 Beneteau 50,954,954 763-397,"$169,000       "
259,2006,2006 Beneteau Cyclades 50,888,888 457-229,"$160,000       "
260,1987,1987 Gulfstar CSY-50,888,888 285-357,"$149,999       "
261,1984,1984 Kanter Atlantic Pilothouse Cutter,866,866 220-931,"$149,900       "
262,1993,1993 Beneteau 510 Oceanis,305,305 481-006,"$149,900       "
263,1979,1979 Mariner 50,941,941 914-921,"$146,000       "
264,1972,1972 Columbia Yacht sloop,877,877 780-526,"$130,000       "
265,1972,1972 Columbia - CUSTOM,562,562 437-750,"$127,000       "
266,1972,1972 Columbia Sloop,562,562 437-750,"$127,000       "
267,1981,1981 Santa Cruz 50,866,866 513-857,"$119,000       "
268,1974,1974 Hood Centercockpit Ketch 50,866,866 263-993,"$119,000       "
269,1996,1996 Jeanneau 50 International,941,941 914-921,"$99,900        "
270,1996,1996 Jeanneau Sloop,888,888 285-357,"$99,000        "
271,1978,1978 Gulfstar GULFSTAR 50 MK II CUTTER RIGGED KETCH,866,866 477-588,"$98,000        "
272,1977,1977 Beachcraft Ketch,888,888 573-425,"$96,000        "
273,1964,1964 50' Kettenburg Sloop,877,877 502-133,"$95,000        "
274,1989,1989 Beneteau Oceanis 500,585,585 339-973,"$89,900        "
275,1979,1979 Mariner 50,866,866 289-181,"$79,890        "
276,1991,1991 Schreiber 50,941,941 914-921,"$66,700        "
277,1984,1984 Crealock Mid-Cockpit Ketch,360,360 697-848,"$59,900        "
278,1994,1994 Sea Ray 500 Sundancer,561,561 501-168,"$55,000        "
279,1974,1974 Hudson - Force 50 -,562,562 437-750,"$49,900        "
280,1968,1968 Columbia 50',954,954 242-651,"$38,000        "
281,2006,2006 Jeanneau Sun Odyssey 49 DS,310,310 821-588,"$360,000       "
282,2008,2008 Hunter 49 The Ultimate Hunter 49/50,727,727 592-891,"$344,000       "
283,2010,2010 Hunter 49,888,888 363-495,"$340,000       "
284,1990,1990 Ta Shing Taswell 49 Center Cockpit,888,888 281-430,"$330,000       "
285,2009,2009 Jeanneau 49 SO,954,954 763-397,"$328,900       "
286,1990,1990 Taswell 49 CC,877,877 564-499,"$325,000       "
287,2008,2008 Beneteau 49,727,727 214-159,"$290,000       "
288,2007,2007 Beneteau 49,888,888 457-229,"$289,000       "
289,2005,2005 Jeanneau 49 DS,631,631 870-766,"$285,000       "
290,2007,2007 Beneteau 49 Cruiser,941,941 914-921,"$255,000       "
291,2007,2007 Beneteau 49,877,877 564-794,"$249,900       "
292,2009,2009 Hunter 49,631,631 963-448,"$249,000       "
293,1976,1976 Morgan 49 Out Island Ketch,941,941 914-921,"$144,500       "
294,2009,2009 Island Packet 485,888,888 365-848,"$665,000       "
295,1997,1997 Mike Broussard 48 BREEZE,941,941 914-921,"$499,000       "
296,2013,2013 Beneteau 48 OCEANIS,616,616 638-388,"$479,000       "
297,2012,2012 Beneteau Oceanis 48,877,877 564-499,"$379,000       "
298,1995,1995 Chris White Designs Voyager,866,866 220-931,"$359,000       "
299,2001,2001 X YACHT 482,877,877 564-794,"$349,000       "
300,1987,1987 Hans Christian TRADITIONAL 48 CUTTER SAIL,877,877 780-526,"$298,000       "
301,1966,1966 Sparkman & Stephens 48,866,866 476-577,"$295,000       "
302,1970,1970 Massdam-Dekker Custom Steel ketch 48 Custom Steel Ketch,855,855 822-312,"$289,000       "
303,2007,2007 Hunter 49,206,206 686-540,"$280,000       "
304,1988,1988 Hans Christian 48T,310,310 821-588,"$229,000       "
305,2008,2008 Berckemeyer BM 48,954,954 763-397,"$225,502       "
306,2006,2006 Bruce Roberts Spray Ketch,954,954 763-397,"$199,000       "
307,1994,1994 Hans Christian 48T,888,888 457-229,"$189,900       "
308,1980,1980 Custom Robert Perry Design SP-48,888,888 573-425,"$169,000       "
309,1967,1967 Hinckley 48 Sloop,310,310 821-588,"$164,000       "
310,1985,1985 Celestial Ketch,877,877 502-133,"$145,000       "
311,1984,1984 Bruce Roberts 48 Pilothouse Cutter Ketch,727,727 460-568,"$114,900       "
312,1988,1988 Cheoy Lee Ketch Cutter,888,888 573-425,"$89,900        "
313,1981,1981 Mayflower Stadel 48,888,888 659-146,"$64,900        "
314,1978,1978 Ta Chiao 42 Mermaid Diesel,941,941 914-921,"$54,500        "
315,2007,2007 Passport 47,954,954 760-653,"$498,500       "
316,2006,2006 Nautitech ,866,866 340-433,"$466,949       "
317,2006,2006 Nautitech 47,941,941 914-921,"$449,900       "
318,2004,2004 Lagoon 470,954,954 763-397,"$391,000       "
319,2004,2004 Robertson & Caine Leopard 4JH-5E,866,866 220-931,"$359,000       "
320,2007,2007 Hanse 470e,877,877 564-499,"$320,000       "
321,2006,2006 Leopard 47,855,855 257-705,"$310,000       "
322,2005,2005 Beneteau 47,941,941 914-921,"$262,900       "
323,2002,2002 Beneteau Cruising sailboat,772,772 692-112,"$246,000       "
324,2004,2004 Beneteau First 47.7,888,888 457-229,"$240,000       "
325,2005,2005 Beneteau 473,877,877 780-526,"$236,500       "
326,2004,2004 Beneteau 473,866,866 263-993,"$235,000       "
327,2001,2001 Beneteau 47.7,888,888 457-229,"$229,900       "
328,2003,2003 Beneteau 473,888,888 457-229,"$229,900       "
329,2003,2003 Catalina 470,888,888 341-072,"$219,900       "
330,2002,2002 Beneteau 473,888,888 457-229,"$199,000       "
331,2000,2000 Bavaria 47,866,866 202-668,"$195,000       "
332,2002,2002 Beneteau 473,888,888 365-848,"$195,000       "
333,1972,1972 MORGAN CUSTOM KETCH 47 One Of A Kind,866,866 202-668,"$179,000       "
334,1990,1990 Tayana 47,888,888 457-229,"$169,000       "
335,1985,1985 Passport 4JH4-TE,888,888 457-229,"$169,000       "
336,1986,1986 Vagabond 47 Ketch,585,585 339-973,"$167,900       "
337,1980,1980 Gulfstar SAILMASTER KETCH,866,866 220-931,"$145,000       "
338,1986,1986 Vagabond 47 Staysail Ketch,866,866 573-134,"$139,000       "
339,1980,1980 Gulfstar SAILMASTER SLOOP,888,888 474-702,"$135,000       "
340,1982,1982 Bluewater Vagabond Voyager,888,888 596-426,"$129,000       "
341,1983,1983 Cheoy Lee Pedrick 47,888,888 669-845,"$120,000       "
342,1982,1982 Islander Yachts 48C,941,941 914-921,"$110,000       "
343,1973,1973 Skookum Cutter,360,360 697-848,"$99,900        "
344,1975,1975 Cheoy Lee 47 Yawl,941,941 914-921,"$81,900        "
345,1985,1985 Kaufman 47 Cutter,888,888 669-845,"$69,900        "
346,1977,1977 Ta Chiao Ct 48,941,941 914-921,"$61,000        "
347,1981,1981 Ta Chiao CT 47,866,866 292-809,"$50,000        "
348,2008,2008 Freydis ,888,888 809-008,"$627,875       "
349,2009,2009 Leopard R & C Leopard 46,888,888 457-229,"$575,000       "
350,2009,2009 Robertson & Caine 46,888,888 460-582,"$525,000       "
351,2006,2006 Southerly 135 Galley UP,877,877 445-530,"$439,000       "
352,2000,2000 Privilege 465,206,206 686-540,"$425,000       "
353,2009,2009 Robertson & Caine Leopard 46,954,954 763-397,"$419,900       "
354,1996,1996 Hallberg Rassy 46,888,888 457-229,"$360,000       "
355,2007,2007 X Yachts Performance (JFR),877,877 430-803,"$330,000       "
356,2014,2014 Bavaria 46 Cruiser,800,800 537-005,"$295,000       "
357,2005,2005 Malcolm Tennant Owners Version,954,954 763-397,"$269,900       "
358,1990,1990 Oyster Center Cockpit,866,866 476-577,"$269,000       "
359,2006,2006 Hanse 461,877,877 564-499,"$255,000       "
360,2008,2008 Beneteau 46,888,888 365-848,"$249,900       "
361,1993,1993 Tartan 4600,888,888 457-229,"$249,000       "
362,2007,2007 Beneteau 46,888,888 457-229,"$247,500       "
363,2005,2005 Beneteau 473,877,877 780-526,"$236,500       "
364,2003,2003 Fountaine Pajot Bahia,888,888 474-702,"$229,000       "
365,2007,2007 Beneteau 46,562,562 437-750,"$229,000       "
366,2009,2009 Beneteau 46,888,888 474-702,"$209,000       "
367,2009,2009 Beneteau Oceanis 46 Sloop,866,866 836-913,"$209,000       "
368,2005,2005 Hunter 46 LE,310,310 821-588,"$199,999       "
369,2004,2004 Hunter 466,866,866 491-037,"$199,900       "
370,2004,2004 Hunter 466,888,888 596-426,"$199,500       "
371,2000,2000 Beneteau Oceanis 461,888,888 474-702,"$197,332       "
372,2005,2005 Bavaria 46,562,562 437-750,"$195,000       "
373,2000,2000 Grand Soleil 46 Cutter,888,888 341-827,"$195,000       "
374,2002,2002 Hunter 466,419,419 304-440,"$189,900       "
375,2005,2005 Hunter 46,877,877 564-499,"$189,900       "
376,2003,2003 Hunter 466,727,727 592-891,"$189,500       "
377,2000,2000 Beneteau 461,888,888 457-229,"$185,000       "
378,2001,2001 Beneteau Oceanis 461 with Bow Thruster,888,888 457-229,"$179,900       "
379,2001,2001 Hunter 46,888,888 363-495,"$175,000       "
380,1984,1984 Hartmann-Palmer/Seamaster 46,888,888 669-845,"$174,500       "
